FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,925,Photographer,Annual,1,1,$66732.00,$66732.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,744,Press Aide II,Annual,1,1,$52728.00,$52728.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,740,Press Aide I,Annual,1,1,$66300.00,$66300.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,$125004.00,$125004.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9883,Assistant Administrative Secretary III,Annual,1,1,$97392.00,$97392.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9878,Assistant to the Director of Intergovernmental Affairs,Annual,1,1,$125004.00,$125004.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,$73440.00,$73440.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,$57720.00,$57720.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9670,Director of Intergovernmental Affairs,Annual,1,1,$160002.00,$160002.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$125004.00,$125004.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$118980.00,$118980.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$76500.00,$76500.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$72000.00,$72000.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$68502.00,$68502.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$99996.00,$99996.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$75000.00,$75000.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$73500.00,$73500.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$66300.00,$66300.00
Local,1,OFFICE OF THE MAYOR,100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$62976.00,$62976.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 00,9,9903,Inspector General,Annual,1,1,$161856.00,$161856.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 14,10,1727,Information Analyst - IG,Annual,1,1,$54636.00,$54636.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,$62820.00,$62820.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,GY 11,10,1719,Senior Forensic Data Analyst,Annual,1,1,$87312.00,$87312.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 16,20,1304,Supervisor of Personnel Services,Annual,1,1,$85008.00,$85008.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 15,10,802,Executive Administrative Assistant II,Annual,1,1,$57252.00,$57252.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 17,10,790,Public Relations Coordinator,Annual,1,1,$76716.00,$76716.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 12,10,645,Technical Support Administrator - IG,Annual,1,1,$43308.00,$43308.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 17,10,634,Data Services Administrator,Annual,1,1,$89076.00,$89076.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 12,20,323,Administrative Assistant III - Excluded,Annual,2,1,$43308.00,$86616.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 17,20,126,Financial Officer,Annual,1,1,$80376.00,$80376.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$7595.00,$7595.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,9,9665,First Deputy Inspector General,Annual,1,1,$137052.00,$137052.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,GY 08,20,1368,Compliance Officer,Annual,2,1,$73212.00,$146424.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1262,Assistant Inspector General,Annual,4,1,$102084.00,$408336.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1216,Chief of Hiring Oversight,Annual,1,1,$101664.00,$101664.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1202,Associate General Counsel - IG,Annual,1,1,$120408.00,$120408.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,B 13,1,308,Staff Assistant,Annual,1,1,$76932.00,$76932.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$2448.00,$2448.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 00,9,9659,Deputy Inspector General,Annual,1,1,$129156.00,$129156.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 00,0,1260,Chief Investigator - IG,Annual,1,1,$101664.00,$101664.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,2,1,$43308.00,$86616.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,3,1,$92088.00,$276264.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,1,1,$68100.00,$68100.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 07,0,1221,Investigator II - IG,Annual,1,1,$62448.00,$62448.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,$59448.00,$59448.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,3,1,$56568.00,$169704.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$9797.00,$9797.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,GY 08,20,1126,Senior Performance Analyst,Annual,3,1,$73212.00,$219636.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,GY 07,20,1125,Performance Analyst,Annual,1,1,$65496.00,$65496.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$5712.00,$5712.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,1 00,9,9659,Deputy Inspector General,Annual,1,1,$137052.00,$137052.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,BX 14,10,1727,Information Analyst - IG,Annual,1,1,$52176.00,$52176.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,$62820.00,$62820.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,GY 08,10,1288,Forensic Audit Investigator,Annual,5,1,$68100.00,$340500.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,3 00,0,1260,Chief Investigator - IG,Annual,1,1,$101664.00,$101664.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,3 00,0,1202,Associate General Counsel - IG,Annual,1,1,$120408.00,$120408.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,3 00,0,1127,Chief Performance Analyst,Annual,2,1,$101664.00,$203328.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,GY 08,20,1126,Senior Performance Analyst,Annual,2,1,$68100.00,$136200.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,GY 07,20,1125,Performance Analyst,Annual,6,1,$62448.00,$374688.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,BX 17,10,790,Public Relations Coordinator,Annual,1,1,$68220.00,$68220.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,3 00,0,705,Director Public Affairs,Annual,1,1,$101664.00,$101664.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,GY 09,10,641,Forensic Data Analyst,Annual,1,1,$73212.00,$73212.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,BX 12,20,323,Administrative Assistant III - Excluded,Annual,2,1,$43308.00,$86616.00
Local,3,OIG,100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3032,Public Safety Audit,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$23208.00,$23208.00
