Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,State,Zip,Award Amount
21844,16,63777,CONSTRUCTION-GENERAL,1/9/17,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$195,354.70 "
33827,1,119083,CONSTRUCTION-LARGE $3MILLIONorABOVE,12/8/16,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$186,548.10 "
32639,33,131388,CONSTRUCTION-AVIATION,11/7/16,DEPT OF AVIATION,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",23353679E,1100 BRANDT DR,HOFFMAN ESTATES,IL,60120,"$163,057.10 "
28094,4,98890,CONSTRUCTION-LARGE $3MILLIONorABOVE,2/1/16,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$159,044.10 "
33457,9,132125,CONSTRUCTION-AVIATION,9/6/16,DEPT OF AVIATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$130,000.00 "
31165,2,129362,DELEGATE AGENCY,3/8/17,DEPT OF FAMILY AND SUPPORT SERVICES,"UNITY PARENTING AND COUNSELING, INC.",29858230L,600 W CERMAK ROAD EFT,CHICAGO,IL,60649,"$126,600.00 "
30366,4,118524,CONSTRUCTION-LARGE $3MILLIONorABOVE,10/4/16,DEPARTMENT OF WATER MANAGEMENT,M.G. ELECTRIC SERVICES CO INC,33669145H,1450 E ALGONQUIN RD,ARLINGTON HEIGHTS,IL,60005,"$126,089.00 "
17640,54,63801,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/5/16,CHICAGO DEPARTMENT OF TRANSPORTATION,WALSH CONSTRUCTION COMPANY OF ILL,15792481T,929 W ADAMS STREET EFT,CHICAGO,IL,60607,"$122,263.00 "
33834,2,130839,CONSTRUCTION-LARGE $3MILLIONorABOVE,12/1/16,CHICAGO DEPARTMENT OF TRANSPORTATION,JOHN BURNS CONSTRUCTION CO.,21972025E,17601 SOUTHWEST HIGHWAY EFT,ORLAND PARK,IL,60462-0827,"$111,920.00 "
19666,134,69118,CONSTRUCTION-AVIATION,8/5/16,OHARE MODERNIZATION PROJECT,POWER/UJAMAA JOINT VENTURE,85251523Z,400 W 76TH ST,CHICAGO,IL,60620,"$102,824.90 "
31956,33,125921,CONSTRUCTION-LARGE $3MILLIONorABOVE,10/4/16,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$93,817.70 "
19666,136,69118,CONSTRUCTION-AVIATION,8/5/16,OHARE MODERNIZATION PROJECT,POWER/UJAMAA JOINT VENTURE,85251523Z,400 W 76TH ST,CHICAGO,IL,60620,"$87,692.80 "
33233,1,103000,"PRO SERV CONSULTING $250,000orABOVE",2/1/16,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",3858253P,2200 OLD GERMANTOWN RD,DELRAY BEACH,FL,33445,"$82,137.00 "
33233,2,103000,"PRO SERV CONSULTING $250,000orABOVE",3/8/16,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",3858253P,2200 OLD GERMANTOWN RD,DELRAY BEACH,FL,33445,"$80,000.00 "
13999,27,21033B,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/1/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$72,133.40 "
12457,140,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$67,000.00 "
30336,7,105764,CONSTRUCTION-GENERAL,1/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$65,840.60 "
14596,62,28594A,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/4/16,CHICAGO DEPARTMENT OF TRANSPORTATION,ALDRIDGE ELECTRIC INC,25940976T,844 E ROCKLAND ROAD EFT,LIBERTYVILLE,IL,60048,"$56,311.90 "
30564,10,123523,CONSTRUCTION-AVIATION,11/7/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$54,448.40 "
30011,9,116466,CONSTRUCTION-AVIATION,6/9/16,DEPT OF AVIATION,"R. COMMERCIAL ROOFING SOLUTIONS, LLC.",88397218L,4552 W PATTERSON AVE,CHICAGO,IL,60641,"$50,000.00 "
42872,1,128580A,CONSTRUCTION-AVIATION,12/5/16,DEPT OF AVIATION,"CCC HOLDINGS, INC",10191433,DBA CHICAGO COMMERICAL CONSTRUCTION,CHICAGO,IL,60617,"$45,376.80 "
33958,8,133688,CONSTRUCTION-AVIATION,3/1/17,DEPT OF AVIATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$44,897.60 "
34014,3,123990,CONSTRUCTION-GENERAL,4/3/17,CHICAGO DEPARTMENT OF TRANSPORTATION,PAN AMERICAN CONSTRUCTIONS CO INC,31341965E,1517 S KOLMAR AVE,CHICAGO,IL,60623,"$38,186.80 "
32201,18,128567,CONSTRUCTION-AVIATION,1/6/16,DEPT OF AVIATION,"OAKLEY CONSTRUCTION CO., INC.",15149245V,7815-7819 S CLAREMONT AVE,CHICAGO,IL,60620,"$37,169.00 "
12457,138,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$34,248.80 "
25038,15,99640,PROPERTY LEASE,11/3/16,,NORCOR LOOP ASSOCIATES LP,93544401H,"C/O NEWCASTLE PROP., LLC",PARK RIDGE,IL,60068,"$31,974.00 "
12457,128,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$27,155.50 "
12457,129,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$24,670.00 "
23954,121,24508A,CONSTRUCTION-GENERAL,1/12/17,CHICAGO DEPARTMENT OF TRANSPORTATION,WALSH CONSTRUCTION COMPANY OF ILL,15792481T,929 W ADAMS STREET EFT,CHICAGO,IL,60607,"$23,596.00 "
28094,8,98890,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/4/17,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$21,185.50 "
12618,26,47236,CONSTRUCTION-GENERAL,9/12/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$18,755.50 "
23954,120,24508A,CONSTRUCTION-GENERAL,12/12/16,CHICAGO DEPARTMENT OF TRANSPORTATION,WALSH CONSTRUCTION COMPANY OF ILL,15792481T,929 W ADAMS STREET EFT,CHICAGO,IL,60607,"$16,300.80 "
25999,41,96063,CONSTRUCTION-LARGE $3MILLIONorABOVE,10/12/16,CHICAGO DEPARTMENT OF TRANSPORTATION,LORIG CONSTRUCTION COMPANY.OVERSIZE),22881177M,250 E TOUHY AVE,DES PLAINES,IL,60018,"$16,255.60 "
28332,30,98246,CONSTRUCTION-LARGE $3MILLIONorABOVE,10/4/16,CHICAGO DEPARTMENT OF TRANSPORTATION,JOHN BURNS CONSTRUCTION CO.,21972025E,17601 SOUTHWEST HIGHWAY EFT,ORLAND PARK,IL,60462-0827,"$16,185.40 "
29396,10,118720,CONSTRUCTION-AVIATION,11/7/16,DEPT OF AVIATION,ASBACH & VANSELOW INC,93516810P,1000 BROWN STREET EFT,WAUCONDA,IL,60084,"$15,407.90 "
32992,12,128812,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/3/17,CHICAGO DEPARTMENT OF TRANSPORTATION,ACURA INC,44068782X,556 COUNTY LINE RD,BENSENVILLE,IL,60106,"$14,445.40 "
20754,41,34376,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/5/16,CHICAGO DEPARTMENT OF TRANSPORTATION,G & V CONSTRUCTION CO INC,90506630P,371 S EVERGREEN STREET EFT,BENSENVILLE,IL,60106,"$13,000.00 "
33958,5,133688,CONSTRUCTION-AVIATION,12/6/16,DEPT OF AVIATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$12,600.00 "
12457,150,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$11,171.00 "
19677,21,58081,CONSTRUCTION-LARGE $3MILLIONorABOVE,5/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,G & V CONSTRUCTION CO INC,90506630P,371 S EVERGREEN STREET EFT,BENSENVILLE,IL,60106,"$10,800.00 "
12457,139,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$10,250.00 "
15092,9,56054,CONSTRUCTION-GENERAL,11/9/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$10,121.70 "
19666,135,69118,CONSTRUCTION-AVIATION,8/5/16,OHARE MODERNIZATION PROJECT,POWER/UJAMAA JOINT VENTURE,85251523Z,400 W 76TH ST,CHICAGO,IL,60620,"$9,945.20 "
15260,16,55337,CONSTRUCTION-GENERAL,12/1/16,CHICAGO DEPARTMENT OF TRANSPORTATION,G & V CONSTRUCTION CO INC,90506630P,371 S EVERGREEN STREET EFT,BENSENVILLE,IL,60106,"$9,920.10 "
28372,7,113554,CONSTRUCTION-AVIATION,9/9/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$9,355.00 "
28374,36,104804,CONSTRUCTION-LARGE $3MILLIONorABOVE,2/8/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"CITY LIGHTS, LIMITED/ZSL ELECTRIC",14937902L,9993 VIRGINA AVENUE EFT,CHICAGO RIDGE,IL,60644,"$8,790.40 "
48820,1,113616,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/5/17,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$7,936.10 "
30456,23,122909,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/5/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$7,465.60 "
25038,14,99640,PROPERTY LEASE,11/2/16,,NORCOR LOOP ASSOCIATES LP,93544401H,"C/O NEWCASTLE PROP., LLC",PARK RIDGE,IL,60068,"$7,347.00 "
12457,147,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$7,150.80 "
12457,130,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$6,542.30 "
32639,24,131388,CONSTRUCTION-AVIATION,4/4/16,DEPT OF AVIATION,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",23353679E,1100 BRANDT DR,HOFFMAN ESTATES,IL,60120,"$6,452.80 "
12457,135,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$6,024.60 "
12457,149,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$5,066.00 "
33827,13,119083,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/3/17,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$5,000.00 "
12457,148,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$4,812.20 "
12457,137,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$4,759.50 "
30456,21,122909,CONSTRUCTION-LARGE $3MILLIONorABOVE,3/10/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$4,600.00 "
29915,10,118474,CONSTRUCTION-LARGE $3MILLIONorABOVE,2/8/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$4,235.20 "
17365,39,48002A,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/5/16,CHICAGO DEPARTMENT OF TRANSPORTATION,G & V CONSTRUCTION CO INC,90506630P,371 S EVERGREEN STREET EFT,BENSENVILLE,IL,60106,"$4,000.00 "
12457,152,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$3,970.20 "
12457,143,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$3,445.00 "
25980,78,96183,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/9/17,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$3,264.00 "
33457,1,132125,CONSTRUCTION-AVIATION,6/8/16,DEPT OF AVIATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$2,700.00 "
C029068,1,C925990002,CONVERTED,5/11/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"DANIEL,MANN,JOHNSON,",85240391P,& MENDENHALL,CHICAGO,IL,60611,"$2,650.40 "
12457,142,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$2,581.00 "
25999,51,96063,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/1/16,CHICAGO DEPARTMENT OF TRANSPORTATION,LORIG CONSTRUCTION COMPANY.OVERSIZE),22881177M,250 E TOUHY AVE,DES PLAINES,IL,60018,"$2,381.30 "
11808,14,44357,CONSTRUCTION-GENERAL,3/1/16,CHICAGO DEPARTMENT OF TRANSPORTATION,SEVEN-D CONSTRUCTION CO.,93201616L,2000 W 43RD STREET EFT ST,CHICAGO,IL,60609,"$2,374.50 "
12457,146,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$2,281.90 "
17638,5,35069,"PRO SERV CONSULTING UNDER $250,000",6/2/16,DEPARTMENT OF FINANCE,"CANNON COCHRAN MANAGEMENT SERVICES, INC.",93502134P,PO BOX 1482,INDIANAPOLIS,IN,46206-1482,"$2,250.00 "
32282,4,126111,CONSTRUCTION-AVIATION,5/4/16,DEPT OF AVIATION,ERA-VALDIVIA CONTRACTORSINCS INCS.,25310149E,11909 S AVENUE O,CHICAGO,IL,60617,"$2,053.00 "
12311,32,28593,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/9/16,CHICAGO DEPARTMENT OF TRANSPORTATION,G & V CONSTRUCTION CO INC,90506630P,371 S EVERGREEN STREET EFT,BENSENVILLE,IL,60106,"$1,693.70 "
25999,52,96063,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/3/16,CHICAGO DEPARTMENT OF TRANSPORTATION,LORIG CONSTRUCTION COMPANY.OVERSIZE),22881177M,250 E TOUHY AVE,DES PLAINES,IL,60018,"$1,473.90 "
12457,136,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$1,332.60 "
25999,53,96063,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/7/16,CHICAGO DEPARTMENT OF TRANSPORTATION,LORIG CONSTRUCTION COMPANY.OVERSIZE),22881177M,250 E TOUHY AVE,DES PLAINES,IL,60018,"$1,332.50 "
12457,144,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,"$1,200.00 "
28094,7,98890,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/11/17,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$1,040.70 "
12457,145,47123,CONSTRUCTION-AVIATION,8/3/16,OHARE MODERNIZATION PROJECT,"KIEWIT-REYES,AJV",85246096P,2230 POINT BLVD STE 100,ELGIN,IL,60123,$937.00 
25999,54,96063,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/9/16,CHICAGO DEPARTMENT OF TRANSPORTATION,LORIG CONSTRUCTION COMPANY.OVERSIZE),22881177M,250 E TOUHY AVE,DES PLAINES,IL,60018,$913.70 
17736,12,63906,CONSTRUCTION-GENERAL,10/4/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,$713.20 
31961,12,127675,CONSTRUCTION-LARGE $3MILLIONorABOVE,7/8/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,$511.90 
1798,3,C968990037,ARCH/ENGINEERING,5/11/16,CHICAGO DEPARTMENT OF TRANSPORTATION,BURNS & MCDONNELL ENGINEERING CO. INC.,97246031M,9400 WARD PKWY,KANSAS CITY,MO,64114-3319,$402.40 
28094,6,98890,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/9/17,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,$343.10 
9899,3,C9259900002,ARCH/ENGINEERING,6/9/16,CHICAGO DEPARTMENT OF TRANSPORTATION,ENTRAN LLC,85247637M,5440 N CUMBERLAND AVENUE EFT,CHICAGO,IL,60656-1452,$131.30 
31815,22,124006,CONSTRUCTION-LARGE $3MILLIONorABOVE,2/10/17,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,$124.70 
24606,38,93383,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/2/16,CHICAGO DEPARTMENT OF TRANSPORTATION,LORIG CONSTRUCTION COMPANY.OVERSIZE),22881177M,250 E TOUHY AVE,DES PLAINES,IL,60018,$117.50 
31815,21,124006,CONSTRUCTION-LARGE $3MILLIONorABOVE,2/10/17,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,$111.30 
20511,26,70081,CONSTRUCTION-LARGE $3MILLIONorABOVE,5/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,$65.30 
